name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
91; 9.12045550361373500e+01; 1.71900726153043415e+01; 4.14104212155530416e+00; 2.91835267327681658e+00; 9.12035983672528516e+01; 1.66879073720725906e+01; 4.08000674961753695e+00; 2.89885637957065789e+00; 
92; 9.22197504134281019e+01; 1.76315422416865637e+01; 4.19323884336259045e+00; 2.90916571184738437e+00; 9.22180921223328625e+01; 1.71005655426947563e+01; 4.12952798378591979e+00; 2.90013323365977582e+00; 
93; 9.32281332489989012e+01; 1.80836999907057994e+01; 4.24636965082024709e+00; 2.91814201870051138e+00; 9.32267287492366847e+01; 1.75239207869237710e+01; 4.18001373935460752e+00; 2.91188310930868877e+00; 
94; 9.42318802651215321e+01; 1.84698845965888516e+01; 4.29140025390737012e+00; 2.90102313573012083e+00; 9.42304564664316899e+01; 1.78873087177945926e+01; 4.22305559220739379e+00; 2.89883414927183303e+00; 
95; 9.52373738371840943e+01; 1.88673941180909850e+01; 4.33717048079870260e+00; 2.89477484379391470e+00; 9.52351489321001594e+01; 1.82591123788323699e+01; 4.26659317940723870e+00; 2.88868135583096830e+00; 
96; 9.62470154991377456e+01; 1.92631989190089037e+01; 4.38202946843066421e+00; 2.89519245075551712e+00; 9.62448024473649468e+01; 1.86315133474412420e+01; 4.30947619893712108e+00; 2.88179624059434447e+00; 
97; 9.72550537144758920e+01; 1.96376780677866059e+01; 4.42409602862758611e+00; 2.88347616873296664e+00; 9.72524629662329971e+01; 1.89951733534449474e+01; 4.35102698269336940e+00; 2.87354437017627529e+00; 
98; 9.82523307375818433e+01; 1.99792565041400287e+01; 4.46268817003960283e+00; 2.87470993490543991e+00; 9.82488193845798605e+01; 1.93004696139017327e+01; 4.38617812312257449e+00; 2.86941126167004024e+00; 
99; 9.92547160558130628e+01; 2.03979368952791873e+01; 4.50921907054757209e+00; 2.87013508512699067e+00; 9.92502867908014395e+01; 1.97006540548377060e+01; 4.43147950206112995e+00; 2.86015197743010896e+00; 
100; 1.00256128988780901e+02; 2.07979102723613778e+01; 4.55327444960957894e+00; 2.87837869689005466e+00; 1.00252030385310363e+02; 2.01123916081784486e+01; 4.47759670951492872e+00; 2.87146462581829853e+00; 
101; 1.01256047204750701e+02; 2.12313114978785968e+01; 4.60062510174625672e+00; 2.89198365302742433e+00; 1.01252068719233904e+02; 2.05315252001863016e+01; 4.52415589485709368e+00; 2.88155055547498273e+00; 
102; 1.02261574518600938e+02; 2.16273695359657800e+01; 4.64316145607543351e+00; 2.88928156394764368e+00; 1.02259321501205264e+02; 2.09178088084251748e+01; 4.56624147055735818e+00; 2.88314483498442042e+00; 
103; 1.03266818902354359e+02; 2.20426057812154177e+01; 4.68736743327870453e+00; 2.88082622117109022e+00; 1.03265520780048405e+02; 2.13003148487706220e+01; 4.60758218202702263e+00; 2.87888278641188755e+00; 
104; 1.04266921047423196e+02; 2.25088535422380751e+01; 4.73683509283154169e+00; 2.87224967713911727e+00; 1.04265061438392877e+02; 2.17465378312518069e+01; 4.65577923285985129e+00; 2.87339566192824236e+00; 
105; 1.05260382377819553e+02; 2.30155431424863721e+01; 4.79038037736122213e+00; 2.88440474570341499e+00; 1.05259101873360265e+02; 2.22316132206982324e+01; 4.70791667724901508e+00; 2.87228668808762100e+00; 
106; 1.06258336924003117e+02; 2.34302669916281090e+01; 4.83358345591806060e+00; 2.86969043691904879e+00; 1.06257924276779988e+02; 2.26600901514254218e+01; 4.75326889822917131e+00; 2.86094274193202747e+00; 
107; 1.07254466084114398e+02; 2.38885457771499468e+01; 4.88096228106564300e+00; 2.84975004904953932e+00; 1.07253803320052214e+02; 2.30790529733199037e+01; 4.79735727750706697e+00; 2.84265241613909048e+00; 
108; 1.08251991056140156e+02; 2.42745292015502763e+01; 4.92047047640523871e+00; 2.85180261226529375e+00; 1.08250489427258699e+02; 2.34534008335883470e+01; 4.83638872304734768e+00; 2.84405515461277991e+00; 
109; 1.09246986293756478e+02; 2.47645673714438743e+01; 4.97026811571975191e+00; 2.84988984304624093e+00; 1.09245499226557044e+02; 2.39362789275083401e+01; 4.88630832605434939e+00; 2.84215204811044586e+00; 
110; 1.10256690583223502e+02; 2.53172075725423475e+01; 5.02506890669437833e+00; 2.86487655428323418e+00; 1.10256063175085600e+02; 2.44923249369972176e+01; 4.94234322840514118e+00; 2.86860641745981360e+00; 
111; 1.11264460436083425e+02; 2.57745154007263579e+01; 5.06996805497558967e+00; 2.86718156912827959e+00; 1.11263588288442605e+02; 2.49530375614034909e+01; 4.98834228733349505e+00; 2.86758774732079980e+00; 
112; 1.12280240905632056e+02; 2.63642378463807532e+01; 5.12695844348200147e+00; 2.85513374483787796e+00; 1.12280220949917009e+02; 2.55482241094053677e+01; 5.04675146293464838e+00; 2.85393572622233416e+00; 
113; 1.13277005908824080e+02; 2.68103925790673721e+01; 5.17046035721613695e+00; 2.85054558820545223e+00; 1.13278050847089034e+02; 2.59841446785836894e+01; 5.08987548030567805e+00; 2.85879201935268856e+00; 
114; 1.14277902629774999e+02; 2.73777221027022826e+01; 5.22498729482343371e+00; 2.85081227254763903e+00; 1.14280296669263208e+02; 2.65542125594130489e+01; 5.14544908988642558e+00; 2.85722695474363197e+00; 
115; 1.15274931803015917e+02; 2.78639052199260320e+01; 5.27146257917254157e+00; 2.85034951935659331e+00; 1.15278016242138690e+02; 2.70607535448543892e+01; 5.19456066611618894e+00; 2.86171151244563449e+00; 
116; 1.16274485710980841e+02; 2.84717339163643253e+01; 5.32882646657138714e+00; 2.84382188904633004e+00; 1.16278687216480492e+02; 2.76451440582433605e+01; 5.25047402561083576e+00; 2.85787358522559432e+00; 
117; 1.17297468583160480e+02; 2.90107654647284612e+01; 5.37794365038916489e+00; 2.85344820121398524e+00; 1.17299700538183686e+02; 2.81457635120557725e+01; 5.29678611041333980e+00; 2.86620686099511168e+00; 
118; 1.18309971464919045e+02; 2.96239367788459305e+01; 5.43395385237877449e+00; 2.87234046598839710e+00; 1.18310808301367217e+02; 2.87400984030586777e+01; 5.35196193959372302e+00; 2.88746144381797043e+00; 
119; 1.19314305361712400e+02; 3.02243633431162202e+01; 5.48867702481341979e+00; 2.88467042826291697e+00; 1.19314876395948460e+02; 2.92987375853305849e+01; 5.40366453812644565e+00; 2.89982736161156485e+00; 
120; 1.20320140095645513e+02; 3.07878918103555783e+01; 5.53944059716462789e+00; 2.89613520739163155e+00; 1.20319401609644203e+02; 2.98574699589547983e+01; 5.45485587075508960e+00; 2.90792378561932230e+00; 
121; 1.21324020187119132e+02; 3.13078251601665620e+01; 5.58594988148890703e+00; 2.91277818757149154e+00; 1.21322888490700535e+02; 3.03639527037522683e+01; 5.50088135904832232e+00; 2.91900156808709488e+00; 
122; 1.22328672303573697e+02; 3.20688777813740629e+01; 5.65339298989889816e+00; 2.90840625534031316e+00; 1.22326618366282801e+02; 3.11265181476625834e+01; 5.56954563590865614e+00; 2.91699528929371477e+00; 
